Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes
Lagaan: Once Upon a Time in India,2001,U,224 min,"Adventure, Drama, Musical",8.1,105036
The Sixth Sense,1999,A,107 min,"Drama, Mystery, Thriller",8.1,911573
La leggenda del pianista sull'oceano,1998,U,169 min,"Drama, Music, Romance",8.1,59020
The Truman Show,1998,U,103 min,"Comedy, Drama",8.1,939631
"Crna macka, beli macor",1998,R,127 min,"Comedy, Crime, Romance",8.1,50862
The Big Lebowski,1998,R,117 min,"Comedy, Crime, Sport",8.1,732620
Fa yeung nin wah,2000,U,98 min,"Drama, Romance",8.1,124383
Trainspotting,1996,A,93 min,Drama,8.1,634716
Fargo,1996,A,98 min,"Crime, Drama, Thriller",8.1,617444
Underground,1995,,170 min,"Comedy, Drama, War",8.1,55220
La haine,1995,UA,98 min,"Crime, Drama",8.1,150345
Dilwale Dulhania Le Jayenge,1995,U,189 min,"Drama, Romance",8.1,63516
Before Sunrise,1995,R,101 min,"Drama, Romance",8.1,272291
Trois couleurs: Rouge,1994,U,99 min,"Drama, Mystery, Romance",8.1,90729
Chung Hing sam lam,1994,U,102 min,"Comedy, Crime, Drama",8.1,63122
Jurassic Park,1993,UA,127 min,"Action, Adventure, Sci-Fi",8.1,867615
In the Name of the Father,1993,UA,133 min,"Biography, Crime, Drama",8.1,156842
Ba wang bie ji,1993,R,171 min,"Drama, Music, Romance",8.1,25088
Dà hóng denglong gaogao guà,1991,PG,125 min,"Drama, History, Romance",8.1,29662
Dead Poets Society,1989,U,128 min,"Comedy, Drama",8.1,425457
Stand by Me,1986,U,89 min,"Adventure, Drama",8.1,363401
Platoon,1986,A,120 min,"Drama, War",8.1,381222
"Paris, Texas",1984,U,145 min,Drama,8.1,91188
Kaze no tani no Naushika,1984,U,117 min,"Animation, Adventure, Fantasy",8.1,150924
The Thing,1982,A,109 min,"Horror, Mystery, Sci-Fi",8.1,371271
Pink Floyd: The Wall,1982,UA,95 min,"Drama, Fantasy, Music",8.1,76081
Fitzcarraldo,1982,R,158 min,"Adventure, Drama",8.1,31595
Fanny och Alexander,1982,A,188 min,Drama,8.1,57784
Blade Runner,1982,UA,117 min,"Action, Sci-Fi, Thriller",8.1,693827
The Elephant Man,1980,UA,124 min,"Biography, Drama",8.1,220078
Life of Brian,1979,R,94 min,Comedy,8.1,367250
The Deer Hunter,1978,A,183 min,"Drama, War",8.1,311361
Rocky,1976,U,120 min,"Drama, Sport",8.1,518546
Network,1976,UA,121 min,Drama,8.1,144911
Barry Lyndon,1975,PG,185 min,"Adventure, Drama, History",8.1,149843
Zerkalo,1975,G,107 min,"Biography, Drama",8.1,40081
Chinatown,1974,UA,130 min,"Drama, Mystery, Thriller",8.1,294230
Paper Moon,1973,U,102 min,"Comedy, Crime, Drama",8.1,42285
Viskningar och rop,1972,A,91 min,Drama,8.1,30206
Solaris,1972,PG,167 min,"Drama, Mystery, Sci-Fi",8.1,81021
Le samouraï,1967,GP,105 min,"Crime, Drama, Mystery",8.1,45434
Cool Hand Luke,1967,A,127 min,"Crime, Drama",8.1,161984
Persona,1966,,85 min,"Drama, Thriller",8.1,103191
Andrei Rublev,1966,R,205 min,"Biography, Drama, History",8.1,46947
La battaglia di Algeri,1966,,121 min,"Drama, War",8.1,53089
El ángel exterminador,1962,,95 min,"Drama, Fantasy",8.1,29682
What Ever Happened to Baby Jane?,1962,Passed,134 min,"Drama, Horror, Thriller",8.1,50058
Sanjuro,1962,U,96 min,"Action, Comedy, Crime",8.1,33044
The Man Who Shot Liberty Valance,1962,,123 min,"Drama, Western",8.1,68827
Ivanovo detstvo,1962,,95 min,"Drama, War",8.1,31728
Jungfrukällan,1960,A,89 min,Drama,8.1,26697
Inherit the Wind,1960,Passed,128 min,"Biography, Drama, History",8.1,27254
Les quatre cents coups,1959,,99 min,"Crime, Drama",8.1,105291
